word,onset,vowel,onset+vowel
沙灘,s,aa,saa
差別,c,aa,caa
渣滓,z,aa,zaa
沙嗲,s,aa,saa
詫異,c,aa,caa
炸雞,z,aa,zaa
些微,s,e,se
車廂,c,e,ce
遮掩,z,e,ze
卸妝,s,e,se
斜坡,c,e,ce
借錢,z,e,ze
詢問,s,eo,seo
春天,c,eo,ceo
遵守,z,eo,zeo
信心,s,eo,seo
出口,c,eo,ceo
進修,z,eo,zeo
思考,s,i,si
癡情,c,i,ci
知道,z,i,zi
試驗,s,i,si
次序,c,i,ci
智慧,z,i,zi
蔬菜,s,o,so
初步,c,o,co
裝飾,z,o,zo
喪失,s,o,so
錯覺,c,o,co
佐證,z,o,zo
商業,s,oe,soe
窗花,c,oe,coe
將來,z,oe,zoe
相片,s,oe,soe
唱歌,c,oe,coe
賬戶,z,oe,zoe
鬆軟,s,u,su
衝動,c,u,cu
中心,z,u,zu
送禮,s,u,su
種植,z,u,zu
舒服,s,yu,syu
處所,c,yu,cyu
珠寶,z,yu,zyu
庶民,s,yu,syu
鑽石,z,yu,zyu
