word,onset,vowel,onset+vowel
seat,s,i,si
sit,s,ɪ,sɪ
suit,s,u,su
soot,s,ʊ,sʊ
sate,s,e,se
set,s,ɛ,sɛ
sewed,s,o,so
sought,s,ɔ,sɔ
sat,s,æ,sæ
Z,z,i,zi
zit,z,ɪ,zɪ
zoot,z,u,zu
zeta,z,e,ze
zone,z,o,zo
Zack,z,æ,zæ
sheet,ʃ,i,ʃi
ship,ʃ,ɪ,ʃɪ
shoot,ʃ,u,ʃu
should,ʃ,ʊ,ʃʊ
shade,ʃ,e,ʃe
shed,ʃ,ɛ,ʃɛ
showed,ʃ,o,ʃo
Shaw,ʃ,ɔ,ʃɔ
shack,ʃ,æ,ʃæ
cheat,tʃ,i,tʃi
chit,tʃ,ɪ,tʃɪ
chew,tʃ,u,tʃu
chase,tʃ,e,tʃe
check,tʃ,ɛ,tʃɛ
choke,tʃ,o,tʃo
chalk,tʃ,ɔ,tʃɔ
chat,tʃ,æ,tʃæ
Jeep,dʒ,i,dʒi
jitter,dʒ,ɪ,dʒɪ
Jew,dʒ,u,dʒu
jay,dʒ,e,dʒe
jet,dʒ,ɛ,dʒɛ
joke,dʒ,o,dʒo
jaw,dʒ,ɔ,dʒɔ
jack,dʒ,æ,dʒæ
keep,k,i,ki
kit,k,ɪ,kɪ
cool,k,u,ku
cook,k,ʊ,kʊ
Kate,k,e,ke
kept,k,ɛ,kɛ
cold,k,o,ko
caught,k,ɔ,kɔ
cat,k,æ,kæ
geek,g,i,gi
git,g,ɪ,gɪ
good,g,ʊ,gʊ
goo,g,u,gu
gate,g,e,ge
get,g,ɛ,gɛ
goat,g,o,go
gobble,g,ɔ,gɔ
gap,g,æ,gæ
beep,b,i,bi
bit,b,ɪ,bɪ
boot,b,u,bu
book,b,ʊ,bʊ
bate,b,e,be
bet,b,ɛ,bɛ
boat,b,o,bo
bought,b,ɔ,bɔ
back,b,æ,bæ
peep,p,i,pi
pit,p,ɪ,pɪ
poo,p,u,pu
put,p,ʊ,pʊ
pave,p,e,pe
pet,p,ɛ,pɛ
poke,p,o,po
paw,p,ɔ,pɔ
pack,p,æ,pæ
leap,l,i,li
lick,l,ɪ,lɪ
loop,l,u,lu
look,l,ʊ,lʊ
late,l,e,le
let,l,ɛ,lɛ
low,l,o,lo
lock,l,ɔ,lɔ
lap,l,æ,læ
neat,n,i,ni
nick,n,ɪ,nɪ
new,n,u,nu
nudge,n,ʊ,nʊ
nate,n,e,ne
net,n,ɛ,nɛ
know,n,o,no
knock,n,ɔ,nɔ
nap,n,æ,næ
